Time,Count
13.0,1
22.0,2
29.0,3
37.0,4
48.0,5
53.0,6
64.0,7
70.0,8
75.0,9
80.0,10
81.0,11
85.0,12
95.0,13
98.0,14
101.0,15
106.0,16
107.0,17
111.0,18
114.0,19
118.0,20
