Time,Particles > 2.5um / 0.1L air,Temperature,Gas,Pressure,Altitude,Humidity
1,2,34.41515625,2650,703.9709521027954,2968.190806379079,100
2,2,34.144453125,2364,1005.1241983305813,67.8735723721822,20.58005335448653
3,2,34.1673046875,4816,1005.1318855188359,67.80915284899386,20.487584494104492
4,2,34.192109375,7469,1005.1252211331855,67.86500114551878,20.369227965078
5,2,34.2153515625,10074,1005.1230105845996,67.88352585592745,20.28212505281312
6,2,34.235859375,13153,1005.12157437545,67.89556150980643,20.35120535390655
7,2,34.2598828125,15781,1005.122397916798,67.88866010476342,20.556260054024612
8,2,34.28546875,18318,1005.1170048166209,67.93385520923049,20.82978389124313
9,2,34.3055859375,20663,1005.1114081496728,67.98075644576058,21.135025355195133
10,2,34.3149609375,24214,1005.1127547212678,67.96947187557373,21.350922038830948
11,2,34.3247265625,26713,1005.1147423908653,67.95281478355881,21.26752949431617
12,2,34.3376171875,29101,1005.107812071862,68.01089243957081,21.089959802481843
13,2,34.3466015625,31326,1005.1067596851478,68.01971170893961,20.943791556713837
14,2,34.3583203125,33280,1005.1049282730987,68.03505942735089,20.86600944643104
15,0,34.3727734375,35213,1005.1093423234759,67.99806855367119,20.783217565240097
16,0,34.3837109375,37133,1005.1097392373254,67.9947423203106,20.789172048974905
17,0,34.3883984375,39033,1005.110410978395,67.98911297128336,20.857528834004796
18,0,34.3899609375,40497,1005.1024388381176,68.05592158865592,20.99907630770173
19,0,34.389765625,42398,1005.1038744312816,68.043890911375,21.061976761966974
20,0,34.3946484375,44219,1005.1013540952612,68.06501205022792,21.104262526132125
21,0,34.4008984375,45774,1005.1010784739191,68.0673218387433,21.099434720939918
22,0,34.4075390625,49250,1005.099687714387,68.07897682352986,21.031701284819217
23,0,34.413203125,50835,1005.1072314161501,68.01575848177066,20.942976299723703
24,0,34.4204296875,52371,1005.1120715123345,67.97519731722699,20.854413032845613
25,0,34.4286328125,53936,1005.1044637476214,68.0389522775785,20.771204376579224
26,0,34.438984375,55458,1005.1021393827259,68.05843111139889,20.714337680616907
27,0,34.4481640625,56958,1005.1014033079356,68.0645996334862,20.662644883573318
28,0,34.460078125,58004,1005.0998867982629,68.07730843974065,20.605923167564722
29,0,34.466328125,59287,1005.0978527866343,68.09435409209755,20.574976982828552
30,0,34.477265625,60421,1005.1070275658781,68.0174667993129,20.560017179359335
31,0,34.486640625,62032,1005.1083671396816,68.00624083253257,20.52928421813715
32,0,34.496796875,63229,1005.1127455716726,67.96954855117876,20.462055328441206
33,0,34.5083203125,64568,1005.1140984428785,67.95821120109068,20.400165761222198
34,0,34.5175,65379,1005.1080896698707,68.00856609862815,20.353800767908183
35,0,34.528828125,66611,1005.1143907718034,67.95576142379124,20.338884716861884
36,2,34.54015625,67578,1005.1119080307408,67.97656732953317,20.33961869065994
37,2,34.5501171875,68573,1005.114207051577,67.9573010375031,20.303751637908046
38,2,34.56203125,69763,1005.1091715283278,67.99949985834964,20.278447606067633
39,2,34.5727734375,71110,1005.1074817676354,68.01366047251952,20.237431826114438
40,2,34.5841015625,71802,1005.1120237409903,67.97559765175416,20.20688806368046
41,2,34.597578125,72747,1005.1130647369141,67.96687387706915,20.202544624093154
42,2,34.6098828125,73841,1005.1156950273755,67.944831497384,20.182491243327163
43,2,34.6192578125,74777,1005.1082448257589,68.00726585358868,20.177883664425966
44,2,34.624921875,75608,1005.1140286870963,67.95879576916316,20.131356512604384
45,2,34.6298046875,76260,1005.1097453847713,67.99469080324752,20.105626260282197
46,2,34.6298046875,77125,1005.1044745768729,68.03886152547966,20.05355422997747
47,2,34.6270703125,77940,1005.1017430376945,68.06175259826183,20.01173707979708
48,2,34.6219921875,79126,1005.0986780527679,68.0874381009271,19.98019032874615
49,2,34.6173046875,79696,1005.0980111153971,68.09302724664427,19.953878829756484
50,2,34.6106640625,80568,1005.0958948774918,68.11076200824868,19.92744897772003
51,2,34.603828125,81085,1005.0987284679547,68.08701560586692,19.916612849129628
52,2,34.595625,81987,1005.1063448454994,68.02318817316957,19.905691049780273
53,2,34.5887890625,82599,1005.1109346236589,67.9847247022438,19.905256342784018
54,2,34.583515625,83932,1005.1075482409218,68.0131034095134,19.88412451390637
55,2,34.5770703125,84332,1005.1145355988092,67.95454774352268,19.868120197008825
56,2,34.5721875,85144,1005.1170605732747,67.93338795790524,19.857414861490614
57,2,34.5676953125,85805,1005.1219834415077,67.89213347181875,19.820753132734946
58,2,34.562421875,86476,1005.1203533298822,67.90579407068014,19.77366496207885
59,2,34.556171875,87072,1005.1188766676913,67.91816875396707,19.762882627116607
60,2,34.5497265625,87244,1005.1153224944278,67.94795339792385,19.736511380202206
61,2,34.54640625,88026,1005.1168984691268,67.9347464214462,19.715534616216022
62,2,34.547578125,88911,1005.1205790365815,67.903902610996,19.731183670858684
63,2,34.5505078125,89360,1005.1183617786027,67.92248361660157,19.736560674946418
64,2,34.5551953125,89631,1005.1190302119529,67.91688202594655,19.747241609812367
65,2,34.55734375,90549,1005.1190437567691,67.91676851800062,19.75257016919167
66,0,34.557734375,91391,1005.0845501841313,68.20583474210024,19.757787980762735
67,0,34.55421875,91675,1005.0682385094718,68.34253414246557,19.736794829660596
68,0,34.54796875,92442,1005.0597352783645,68.41379587595301,19.73640046828053
69,0,34.5376171875,92928,1005.0603091188151,68.40898676335162,19.699407765354294
70,0,34.522578125,96128,1005.0742670432903,68.29201202326287,19.67251115464826
71,0,34.5051953125,96547,1005.0791057317642,68.25146157880195,19.67141776640191
72,0,34.488984375,96918,1005.0823536110059,68.2242429391864,19.69115536705595
73,0,34.475703125,97506,1005.0886535385011,68.1714470117835,19.726651163525585
74,0,34.4653515625,98100,1005.0927364606852,68.13723062408205,19.75714744598521
75,0,34.453046875,98046,1005.0918555924752,68.1446126137354,19.730413800892947
76,0,34.442109375,99480,1005.0897059372434,68.16262751297867,19.703773415096165
77,0,34.431171875,99817,1005.0893122146263,68.16592705628803,19.666763547278133
78,0,34.4157421875,100669,1005.0955931490859,68.11329059283909,19.650231397668446
79,0,34.400703125,101187,1005.0902198530695,68.15832070703394,19.63372715515125
80,0,34.3878125,101303,1005.0813482875512,68.2326679790499,19.6277323297669
81,0,34.3723828125,102181,1005.0876259633623,68.18005848664218,19.626764536718735
82,0,34.3610546875,102536,1005.0971247411306,68.10045534746463,19.631239694928915
83,0,34.3520703125,102894,1005.0981778706561,68.09162978464485,19.646233844007387
84,0,34.34484375,102715,1005.0986047129361,68.08805271172636,19.66652639645404
85,0,34.3383984375,104167,1005.103826493378,68.04429264436044,19.67130847397568
86,0,34.3305859375,104290,1005.1050467824866,68.0340662865817,19.665630770415397
87,0,34.324921875,104536,1005.1115508813332,67.97956032204762,19.675648748565223
88,0,34.3190625,105220,1005.1071973721753,68.01604377898845,19.67528056272956
89,0,34.320234375,105408,1005.1126339566515,67.97048390948218,19.696103946518356
90,0,34.320625,106104,1005.1080070940147,68.00925810495697,19.70131648615011
91,0,34.323359375,107002,1005.1142534057377,67.95691257997373,19.71186516400717
92,0,34.3274609375,106744,1005.1086958385459,68.00348625488573,19.71212332332146
93,0,34.331171875,106423,1005.1024966820645,68.05543683973114,19.712356904178232
94,0,34.3383984375,107327,1005.098558030047,68.08844392899925,19.70762313936439
95,0,34.3485546875,107392,1005.1046983155713,68.03698653398438,19.713451149079898
96,0,34.3598828125,108313,1005.1092501851608,67.99884069502558,19.714164343850737
97,0,34.3739453125,107851,1005.1007290717827,68.07024993291392,19.709860612563208
98,0,34.38625,108846,1005.0858078669621,68.19529485115237,19.71063528784125
99,0,34.3993359375,109588,1005.0721681682829,68.3096016144702,19.716648791744404
