Time,Count
2.0,1
2.0,2
2.0,3
17.0,4
21.0,5
25.0,6
27.0,7
34.0,8
37.0,9
41.0,10
50.0,11
50.0,12
50.0,13
51.0,14
51.0,15
54.0,16
55.0,17
66.0,18
66.0,19
69.0,20
84.0,21
90.0,22
94.0,23
95.0,24
111.0,25
