Time,Count
1.0,1
3.0,2
5.0,3
7.0,4
8.0,5
8.0,6
8.0,7
14.0,8
16.0,9
20.0,10
21.0,11
24.0,12
25.0,13
26.0,14
27.0,15
29.0,16
36.0,17
39.0,18
49.0,19
50.0,20
53.0,21
53.0,22
55.0,23
59.0,24
62.0,25
66.0,26
69.0,27
72.0,28
77.0,29
78.0,30
79.0,31
82.0,32
82.0,33
86.0,34
87.0,35
93.0,36
95.0,37
98.0,38
105.0,39
110.0,40
112.0,41
115.0,42
115.0,43
116.0,44
