Time,Latitude,Longitude,counts
1744842055.53,0,0,12.6
1744842060.5,0,0,12.0
1744842065.57,0,0,9.2
1744842070.49,0,0,12.2
1744842075.53,0,0,12.6
1744842080.54,0,0,8.2
1744842085.53,0,0,10.8
1744842090.52,0,0,11.8
1744842095.51,0,0,14.4
1744842100.51,0,0,11.6
1744842105.51,0,0,14.8
1744842110.52,0,0,14.2
1744842115.52,0,0,18.2
1744842120.53,0,0,16.8
1744842125.53,0,0,17.2
1744842130.54,0,0,15.6
1744842135.54,0,0,22.4
1744842140.54,0,0,15.8
1744842145.53,0,0,18.2
1744842150.57,0,0,17.6
1744842155.54,0,0,17.2
1744842160.52,0,0,20.2
1744842165.52,0,0,20.4
1744842170.52,0,0,18.4
1744842175.51,0,0,22.2
1744842180.52,0,0,17.6
1744842185.52,0,0,16.6
1744842190.52,0,0,15.2
1744842195.51,0,0,17.2
1744842200.51,0,0,14.2
1744842205.51,0,0,18.4
1744842210.52,0,0,17.0
1744842215.52,0,0,16.4
1744842220.51,0,0,14.4
1744842225.52,0,0,16.2
1744842230.52,0,0,16.0
1744842235.53,0,0,15.4
1744842240.52,0,0,16.2
1744842245.49,0,0,14.2
1744842250.52,0,0,18.8
1744842255.55,0,0,14.2
1744842260.52,0,0,20.2
1744842265.52,0,0,17.6
1744842270.51,0,0,16.6
1744842275.51,0,0,15.8
1744842280.51,0,0,18.8
1744842285.51,0,0,17.4
1744842290.51,0,0,14.2
1744842295.49,0,0,13.4
1744842300.51,0,0,16.0
1744842305.51,0,0,18.2
1744842310.56,0,0,19.0
1744842315.52,0,0,16.2
1744842320.52,0,0,13.8
1744842325.51,0,0,12.2
1744842330.51,0,0,12.8
1744842335.51,0,0,13.2
1744842340.52,0,0,15.2
1744842345.52,0,0,17.6
1744842350.51,0,0,15.4
1744842355.52,0,0,23.2
1744842360.52,0,0,17.8
1744842365.51,0,0,22.2
1744842370.52,0,0,22.0
1744842375.52,0,0,16.4
1744842380.51,0,0,16.0
1744842385.52,0,0,13.0
1744842390.52,0,0,16.4
1744842395.53,0,0,16.2
1744842400.51,0,0,14.4
