Time,Count
0.0,1
4.0,2
5.0,3
5.0,4
7.0,5
8.0,6
9.0,7
12.0,8
15.0,9
15.0,10
18.0,11
27.0,12
28.0,13
31.0,14
31.0,15
33.0,16
34.0,17
38.0,18
39.0,19
43.0,20
45.0,21
45.0,22
50.0,23
51.0,24
54.0,25
55.0,26
57.0,27
59.0,28
60.0,29
69.0,30
72.0,31
78.0,32
81.0,33
81.0,34
91.0,35
92.0,36
93.0,37
96.0,38
105.0,39
106.0,40
108.0,41
110.0,42
115.0,43
116.0,44
117.0,45
120.0,46
